iteration,loss,lengthscale,likelyhood_noise,val_MAE,val_NLL,val_PICP50,val_PICP90,val_PICP95,val_RMSE,it_time_training,it_time
0,1.659110426902771,3.26603364944458,0.7444967031478882,6.440298557281494,3.5678798910519562,0.6382978558540344,0.968510627746582,0.9931914806365967,8.095891952514648,1.8516690150136128,2.058782467036508
1,1.5332194566726685,3.4526026248931885,0.7941626906394958,6.203103065490723,3.550087955959781,0.6612765789031982,0.9702127575874329,0.9931914806365967,7.843455791473389,1.4747322180191986,1.6663786069839261
2,1.4672274589538574,3.653735637664795,0.839699923992157,6.029708385467529,3.5361212328556113,0.6791489124298096,0.9710638523101807,0.9931914806365967,7.643022537231445,1.4675786449806765,1.6618557309848256
3,1.4247492551803589,3.8659608364105225,0.8782920241355896,5.879187107086182,3.523592267146458,0.6868085265159607,0.9744681119918823,0.9940425753593445,7.467277526855469,1.4813517370494083,1.6796090010320768
4,1.394158124923706,4.086756229400635,0.9075682759284973,5.747063636779785,3.511911625320192,0.6919149160385132,0.978723406791687,0.9948936104774475,7.316610813140869,1.5085064090089872,1.700025207013823
5,1.3700921535491943,4.314060688018799,0.9261817932128906,5.647727966308594,3.5008624441885914,0.6961702108383179,0.97957444190979,0.9948936104774475,7.195857048034668,1.4805147830047645,1.6789106120122597
6,1.3500279188156128,4.546239376068115,0.9339796900749207,5.581590175628662,3.4900330238668555,0.6953191757202148,0.9812765717506409,0.9940425753593445,7.102985858917236,1.5027949449722655,1.6961791439680383
7,1.3324332237243652,4.782044410705566,0.9317428469657898,5.536654949188232,3.47873155809077,0.694468080997467,0.9821276664733887,0.9940425753593445,7.02777624130249,1.4683732789708301,1.6653889120207168
8,1.3160099983215332,5.020557880401611,0.9207503199577332,5.501028537750244,3.4665059860133316,0.694468080997467,0.9804255366325378,0.9940425753593445,6.961339950561523,1.4715321700205095,1.663895912002772
9,1.3000338077545166,5.2611165046691895,0.9024478197097778,5.464256763458252,3.45327853401388,0.6910638213157654,0.9804255366325378,0.9923404455184937,6.899486541748047,1.4683334619621746,1.6604748899699189
10,1.2842351198196411,5.503237247467041,0.8782578706741333,5.421192646026611,3.4391133103002143,0.6919149160385132,0.978723406791687,0.9906383156776428,6.839972496032715,1.4630748460185714,1.656603762996383
11,1.2684763669967651,5.746593475341797,0.8494831323623657,5.372694969177246,3.424027970324694,0.6885106563568115,0.9753191471099854,0.9906383156776428,6.780210971832275,1.4619440569658764,1.653630857996177
12,1.2526322603225708,5.991021156311035,0.8172683715820312,5.317415237426758,3.408015416680459,0.672340452671051,0.9753191471099854,0.988936185836792,6.717850208282471,1.463372147991322,1.6545864240033552
13,1.2366557121276855,6.236488342285156,0.7825998663902283,5.260411262512207,3.3911267092227475,0.662127673625946,0.9744681119918823,0.9872340559959412,6.651857852935791,1.4661909640417434,1.6602381680277176
14,1.220619797706604,6.483010768890381,0.7463264465332031,5.2062883377075195,3.3735172530360016,0.6578723192214966,0.9727659821510315,0.9855319261550903,6.582782745361328,1.4804637730121613,1.679830645036418
15,1.2046693563461304,6.730573654174805,0.7091829180717468,5.151878356933594,3.355404689271976,0.6485106348991394,0.9702127575874329,0.9846808314323425,6.511861324310303,1.500913884025067,1.6937529940041713
16,1.1889302730560303,6.979122638702393,0.6718094348907471,5.0953521728515625,3.337016227698189,0.6425532102584839,0.9668084979057312,0.9829787015914917,6.440199375152588,1.491959823993966,1.6895982259884477
17,1.1734776496887207,7.228616237640381,0.6347655057907104,5.038640975952148,3.318669606709723,0.6289361715316772,0.9625532031059265,0.9821276664733887,6.36959171295166,1.504682809987571,1.6995933990110643
18,1.1584254503250122,7.479047775268555,0.5985441207885742,4.982784748077393,3.3009054876394983,0.6187233924865723,0.9625532031059265,0.978723406791687,6.303662300109863,1.4845978309749626,1.6833520730142482
19,1.1440309286117554,7.730406761169434,0.5635858178138733,4.934414863586426,3.284360233438801,0.6042553186416626,0.958297848701477,0.9770212769508362,6.2462310791015625,1.4999680359615013,1.6911888960166834
20,1.130629539489746,7.982654571533203,0.5302866697311401,4.894656658172607,3.269443415053208,0.5991489291191101,0.9531915187835693,0.9744681119918823,6.198367595672607,1.469963965995703,1.6623076990363188
21,1.1184760332107544,8.235737800598145,0.49899807572364807,4.860447883605957,3.25624959959876,0.590638279914856,0.947234034538269,0.9736170172691345,6.1583404541015625,1.474349326977972,1.6755196829908527
22,1.1076998710632324,8.489603996276855,0.4700261652469635,4.833035469055176,3.24477657756382,0.5778723359107971,0.9412766098976135,0.9693617224693298,6.124172687530518,1.4968721080222167,1.6880295390146784
23,1.0984365940093994,8.74416446685791,0.4436362087726593,4.81004524230957,3.2350599420884305,0.5617021322250366,0.9378723502159119,0.967659592628479,6.094897747039795,1.46535287698498,1.6575475169811398
