iteration,loss,lengthscale,likelyhood_noise,val_MAE,val_NLL,val_PICP50,val_PICP90,val_PICP95,val_RMSE,it_time_training,it_time
0,2.0462640285491944,1.8938908576965332,0.9605088233947754,0.6396112442016602,1.2721308469772339,0.6250962018966675,0.9545804262161255,0.9792147874832153,0.8080345988273621,0.8340240269899368,0.892268019990297
1,1.7961702585220336,1.882731556892395,1.1979330778121948,0.6082767248153687,1.2673444747924805,0.5519630312919617,0.9538106322288513,0.9892224669456482,0.7909934520721436,0.7342581959965173,0.769149887986714
2,1.5974947690963746,2.2103137969970703,1.3416087627410889,0.589909553527832,1.2524185180664062,0.6605080962181091,0.9769052863121033,0.9915319681167603,0.7542189359664917,0.5407400639960542,0.574955399002647
3,1.512420129776001,2.7233831882476807,1.3782038688659668,0.5701709389686584,1.2291697263717651,0.7521170377731323,0.9807544350624084,0.9915319681167603,0.7225459814071655,0.5402067159884609,0.5743596050015185
4,1.4531861305236817,3.311328649520874,1.3209398984909058,0.548972487449646,1.1952955722808838,0.7428791522979736,0.9807544350624084,0.9907621145248413,0.7001505494117737,0.5398430810018908,0.5739932190044783
5,1.3943475484848022,3.9175281524658203,1.201274037361145,0.5429140329360962,1.1563957929611206,0.72132408618927,0.974595844745636,0.9892224669456482,0.6900411248207092,0.5396729849744588,0.5737293259880971
6,1.344946026802063,4.526980876922607,1.044012427330017,0.538188636302948,1.1158690452575684,0.6759045124053955,0.9668976068496704,0.986143171787262,0.6871172189712524,0.5547284799977206,0.5890339189791121
7,1.2992639780044555,5.127687454223633,0.8806040287017822,0.5377943515777588,1.075235366821289,0.6250962018966675,0.9545804262161255,0.9769052863121033,0.6822542548179626,0.5446578100090846,0.5791172340104822
8,1.2646479845046996,5.681456089019775,0.7360421419143677,0.5383412837982178,1.0506609678268433,0.5850654244422913,0.9337952136993408,0.9653579592704773,0.6844786405563354,0.5418389389815275,0.5762008760066237
9,1.246215009689331,6.172211170196533,0.6324383616447449,0.5404868721961975,1.0346930027008057,0.5434949994087219,0.9207082390785217,0.9561200737953186,0.6815769076347351,0.5415358199970797,0.5758974810014479
10,1.2338197469711303,6.577775478363037,0.5771859288215637,0.539655864238739,1.0358954668045044,0.5127021074295044,0.911470353603363,0.948421835899353,0.6841861009597778,0.5416922399890609,0.576194820983801
11,1.2326765060424805,6.910549163818359,0.5639777183532715,0.5354806780815125,1.0294818878173828,0.5034642219543457,0.9076212644577026,0.9515011310577393,0.6797704100608826,0.5406107900198549,0.5746954970236402
12,1.2310870885849,7.194868087768555,0.5764384865760803,0.5327244997024536,1.031346082687378,0.5265588760375977,0.8968437314033508,0.9476520419120789,0.6810420155525208,0.5405439419846516,0.5747245929960627
13,1.227126455307007,7.3960442543029785,0.6050302982330322,0.5328132510185242,1.0294967889785767,0.5234795808792114,0.9107005596160889,0.9538106322288513,0.6791785955429077,0.5425803599937353,0.5771482019918039
14,1.2243495225906371,7.551176071166992,0.6292883157730103,0.5431085824966431,1.0376378297805786,0.5242494344711304,0.9199383854866028,0.9568899273872375,0.6842164993286133,0.5515858309809119,0.5857205399952363
15,1.2162699460983277,7.662095069885254,0.6372249722480774,0.536553144454956,1.034968614578247,0.5388760566711426,0.9268668293952942,0.9591993689537048,0.6818863153457642,0.5408590580045711,0.5749287840153556
16,1.2283278465270997,7.758418083190918,0.6327884197235107,0.5332766771316528,1.0270482301712036,0.5396459102630615,0.9183987975120544,0.960739016532898,0.676219642162323,0.5479164409916848,0.5821505429921672
17,1.2172242403030396,7.8374409675598145,0.6256090402603149,0.5328367352485657,1.0288727283477783,0.5388760566711426,0.9176289439201355,0.9584295749664307,0.6779887676239014,0.5416254579904489,0.5760634070029482
18,1.2234766244888307,7.952247619628906,0.6154621839523315,0.5419439673423767,1.0382137298583984,0.517320990562439,0.9199383854866028,0.9561200737953186,0.6853641867637634,0.5538427459832747,0.6019029559975024
19,1.2219110488891602,8.005414009094238,0.6123347878456116,0.532352089881897,1.0251187086105347,0.5404157042503357,0.9183987975120544,0.9584295749664307,0.6761523485183716,0.5402778050047345,0.57448772402131
20,1.2239146471023559,8.103750228881836,0.6164010167121887,0.5327253937721252,1.030577540397644,0.5473440885543823,0.9168591499328613,0.9545804262161255,0.6798105835914612,0.5407251389988232,0.5747649919940159
21,1.2161584854125977,8.191848754882812,0.6217858195304871,0.5452101826667786,1.0416454076766968,0.5019245743751526,0.9222478866577148,0.9522709846496582,0.6876373887062073,0.5411178470239975,0.575481727020815
22,1.2201232194900513,8.263729095458984,0.6190073490142822,0.5353304147720337,1.0236765146255493,0.5250192284584045,0.9222478866577148,0.9553502798080444,0.6747838854789734,0.5404941189917736,0.5747716299956664
23,1.2159791469573975,8.32038402557373,0.6165759563446045,0.5316184163093567,1.0251036882400513,0.5381062626838684,0.9207082390785217,0.9561200737953186,0.6759910583496094,0.5402922320063226,0.574570994998794
24,1.2143451690673828,8.39161205291748,0.6116968393325806,0.5361881852149963,1.02916419506073,0.5265588760375977,0.9199383854866028,0.9568899273872375,0.6791975498199463,0.5414435019774828,0.5767274099925999
25,1.2161067485809327,8.453409194946289,0.6091508269309998,0.5349758267402649,1.0254462957382202,0.5234795808792114,0.9191685914993286,0.9553502798080444,0.6767727136611938,0.5420375939866062,0.5764756199787371
26,1.2179574012756347,8.496635437011719,0.6110827922821045,0.5310822129249573,1.0257762670516968,0.5350269675254822,0.9145496487617493,0.9538106322288513,0.6767752170562744,0.540695460018469,0.5748975390160922
27,1.2225569486618042,8.555816650390625,0.616965651512146,0.5318500399589539,1.0228055715560913,0.5381062626838684,0.9207082390785217,0.9599692225456238,0.6744707226753235,0.5407582230109256,0.5748615899938159
28,1.2181459188461303,8.616022109985352,0.6196321249008179,0.5410836935043335,1.031577229499817,0.5211701393127441,0.9214780330657959,0.9561200737953186,0.6806860566139221,0.542015908024041,0.5767189500038512
