iteration,loss,lengthscale,likelyhood_noise,val_MAE,val_NLL,val_PICP50,val_PICP90,val_PICP95,val_RMSE,it_time_training,it_time
0,2.0088029146194457,2.597540855407715,0.9618098139762878,7.497700214385986,3.6762382984161377,0.5948936343193054,0.9702127575874329,0.9957447052001953,9.21672534942627,2.3025792608968914,2.3923903447575867
1,1.7948032855987548,2.540875196456909,1.198367714881897,7.215804576873779,3.6681582927703857,0.6348935961723328,0.967659592628479,0.9948936104774475,8.991727828979492,0.671864268835634,0.7045471789315343
2,1.626143717765808,3.016319751739502,1.3445795774459839,6.856849670410156,3.648782730102539,0.6663829684257507,0.9736170172691345,0.9965957403182983,8.569278717041016,0.45357140991836786,0.48589155031368136
3,1.5490423679351806,3.8029284477233887,1.3900983333587646,6.48996114730835,3.622992515563965,0.694468080997467,0.9804255366325378,0.9982978701591492,8.18203353881836,0.45504891499876976,0.48823185078799725
4,1.4537607431411743,4.731301307678223,1.345382571220398,6.251348495483398,3.59194016456604,0.7021276354789734,0.9804255366325378,0.9982978701591492,7.918879508972168,0.45409976597875357,0.48670340795069933
5,1.4126492023468018,5.707676410675049,1.2235420942306519,6.136795997619629,3.555211067199707,0.6774467825889587,0.9770212769508362,0.9965957403182983,7.774312496185303,0.4541801861487329,0.48653854709118605
6,1.3644130945205688,6.656805515289307,1.0633686780929565,5.949284076690674,3.511662244796753,0.6672340631484985,0.9599999785423279,0.9957447052001953,7.627939701080322,0.45040873996913433,0.4826341080479324
7,1.2835243940353394,7.709185600280762,0.8930386900901794,5.824455738067627,3.464773416519165,0.6374468207359314,0.9455319046974182,0.97957444190979,7.460622787475586,0.45329900924116373,0.4860563180409372
8,1.2472803354263307,8.739253997802734,0.7274242639541626,5.636749744415283,3.4086544513702393,0.5914893746376038,0.9370212554931641,0.9719148874282837,7.184326171875,0.44796130806207657,0.4804596877656877
9,1.2256990909576415,9.768336296081543,0.5986357927322388,5.771394729614258,3.4007084369659424,0.5455319285392761,0.9208510518074036,0.9591489434242249,7.249034881591797,0.4493588460609317,0.481597320176661
10,1.2656933784484863,10.841849327087402,0.5304495692253113,5.492848873138428,3.3607940673828125,0.5421276688575745,0.9123404026031494,0.9497872591018677,6.984201431274414,0.44677678495645523,0.4789819302968681
11,1.2305363416671753,11.8995943069458,0.5213955640792847,5.60053014755249,3.372340440750122,0.5131914615631104,0.9114893674850464,0.9557446837425232,7.067060470581055,0.4524795589968562,0.4848640118725598
12,1.2228884935379027,12.833902359008789,0.5351638793945312,5.305379867553711,3.34319806098938,0.579574465751648,0.9165957570075989,0.9429787397384644,6.831553936004639,0.4467918868176639,0.47905659722164273
13,1.2328375339508058,13.861090660095215,0.547405481338501,5.540131092071533,3.3617773056030273,0.5310638546943665,0.9123404026031494,0.9617021083831787,6.975794315338135,0.4493486271239817,0.48157472210004926
14,1.2601401567459107,14.880332946777344,0.5583560466766357,5.404741287231445,3.343129873275757,0.5600000023841858,0.9208510518074036,0.9540425539016724,6.831302642822266,0.44717626506462693,0.47990191215649247
15,1.1972146511077881,15.74630069732666,0.5662776231765747,5.244565486907959,3.335494041442871,0.5914893746376038,0.9182978868484497,0.9625532031059265,6.764301776885986,0.4492900031618774,0.4817392439581454
16,1.2375322341918946,16.51738166809082,0.5473944544792175,5.363915920257568,3.341238021850586,0.5600000023841858,0.9225531816482544,0.9591489434242249,6.834184646606445,0.4474299130961299,0.4800404659472406
17,1.239972996711731,17.270071029663086,0.5413758754730225,5.60225772857666,3.3670897483825684,0.5174468159675598,0.9097872376441956,0.9608510732650757,7.015930652618408,0.4493474280461669,0.4818157572299242
18,1.2237617731094361,17.88486671447754,0.5515817403793335,5.5005269050598145,3.3610239028930664,0.559148907661438,0.9021276831626892,0.9421276450157166,6.9821858406066895,0.4477699832059443,0.48014482017606497
19,1.1953904151916503,18.456035614013672,0.5442239046096802,5.42475700378418,3.340811252593994,0.5395744442939758,0.9225531816482544,0.9565957188606262,6.831696510314941,0.4496231400407851,0.4819156448356807
20,1.1789151430130005,18.9833927154541,0.518282949924469,5.268643379211426,3.333427906036377,0.5557447075843811,0.9234042763710022,0.9514893889427185,6.781791687011719,0.4476739251986146,0.4800360258668661
21,1.183997678756714,19.514808654785156,0.4882914423942566,5.147505283355713,3.3031086921691895,0.5412765741348267,0.9234042763710022,0.957446813583374,6.577012538909912,0.44928378984332085,0.4816709030419588
22,1.167249584197998,20.063329696655273,0.4746890664100647,5.282022953033447,3.3272252082824707,0.5293617248535156,0.9072340130805969,0.9429787397384644,6.750814914703369,0.4480063742958009,0.48055587243288755
23,1.248238730430603,20.521942138671875,0.48615604639053345,5.190701961517334,3.32208251953125,0.5421276688575745,0.9114893674850464,0.9523404240608215,6.712347507476807,0.44901110185310245,0.48116854578256607
24,1.190222430229187,21.005691528320312,0.5308917760848999,5.235556602478027,3.3199446201324463,0.5617021322250366,0.925957441329956,0.9617021083831787,6.6675825119018555,0.44990830635651946,0.48253708612173796
25,1.1737670183181763,21.56572151184082,0.5415961146354675,5.283686637878418,3.329385280609131,0.5812765955924988,0.9106382727622986,0.9489361643791199,6.7186994552612305,0.45219857804477215,0.48467752197757363
26,1.1951874256134034,22.098112106323242,0.5253371000289917,5.173250675201416,3.3154091835021973,0.5702127814292908,0.9225531816482544,0.9565957188606262,6.6405744552612305,0.451335652731359,0.48378851590678096
27,1.1748676776885987,22.55096435546875,0.5076181888580322,5.3035712242126465,3.3192107677459717,0.5353191494941711,0.9225531816482544,0.9599999785423279,6.685074806213379,0.4526325510814786,0.4854029128327966
28,1.229274034500122,22.9863338470459,0.4977772533893585,5.347931385040283,3.3246500492095947,0.5404255390167236,0.9370212554931641,0.9659574627876282,6.720320224761963,0.45384420501068234,0.4866805858910084
29,1.2420619249343872,23.365760803222656,0.5350170731544495,5.453084468841553,3.378903388977051,0.5523404479026794,0.9029787182807922,0.9480851292610168,7.093520641326904,0.45286990888416767,0.4856889648362994
30,1.362079906463623,23.720090866088867,0.5946805477142334,5.523852348327637,3.366943359375,0.5804255604743958,0.9200000166893005,0.968510627746582,6.970923900604248,0.4510542219504714,0.48354913387447596
31,1.2898686408996582,24.086898803710938,0.6754424571990967,5.755250930786133,3.404219627380371,0.5651063919067383,0.9302127957344055,0.9727659821510315,7.227377891540527,0.45330764818936586,0.48608254129067063
32,1.2415902376174928,24.381656646728516,0.6837472915649414,5.4595441818237305,3.3732481002807617,0.5880851149559021,0.9387233853340149,0.9659574627876282,6.946170330047607,0.45073329005390406,0.4836220070719719
33,1.3132403135299682,24.62535858154297,0.6221989989280701,5.607149124145508,3.3776514530181885,0.5336170196533203,0.9217021465301514,0.9693617224693298,7.054265022277832,0.4528085561469197,0.4853407070040703
34,1.2299907445907592,24.852123260498047,0.5921788811683655,5.400121688842773,3.3594954013824463,0.5651063919067383,0.9191489219665527,0.9523404240608215,6.917608737945557,0.45068818097934127,0.4834242509678006
35,1.2341440677642823,25.11634063720703,0.5535396337509155,5.464295387268066,3.3691399097442627,0.54808509349823,0.90382981300354,0.9395744800567627,7.026835918426514,0.4535884568467736,0.48627741588279605
36,1.2205450057983398,25.397079467773438,0.5381454229354858,5.276411056518555,3.3307135105133057,0.5668085217475891,0.9157446622848511,0.9497872591018677,6.7557830810546875,0.4510396821424365,0.483858659863472
37,1.2276652336120606,25.649091720581055,0.5328291058540344,5.183259010314941,3.3201045989990234,0.5617021322250366,0.9191489219665527,0.9540425539016724,6.686309337615967,0.45403436990454793,0.4867661828175187
38,1.1786159515380858,25.923564910888672,0.5404568910598755,5.220534801483154,3.3106603622436523,0.5506383180618286,0.9234042763710022,0.9659574627876282,6.596946716308594,0.4515247829258442,0.48435214860364795
39,1.21066312789917,26.177106857299805,0.5340585112571716,5.166111946105957,3.2964935302734375,0.5565957427024841,0.9276595711708069,0.9617021083831787,6.491436004638672,0.45354193309322,0.48612083308398724
40,1.1572510719299316,26.425870895385742,0.5290824174880981,5.213066101074219,3.324986457824707,0.5548936128616333,0.9080851078033447,0.9523404240608215,6.717390537261963,0.45161045575514436,0.4839780908077955
41,1.1641234159469604,26.73571014404297,0.5058147311210632,5.2548723220825195,3.3310189247131348,0.5625531673431396,0.9157446622848511,0.9438297748565674,6.7670512199401855,0.454217451158911,0.4869540804065764
42,1.1512155532836914,27.059864044189453,0.4884485900402069,5.1786417961120605,3.334479331970215,0.5702127814292908,0.9021276831626892,0.9412766098976135,6.826080322265625,0.45193754183128476,0.48434196319431067
43,1.1362244248390199,27.380687713623047,0.48071229457855225,5.301612377166748,3.3330838680267334,0.525957465171814,0.8987234234809875,0.946382999420166,6.777210712432861,0.45366033306345344,0.4859858248382807
44,1.2378766059875488,27.70442771911621,0.48920920491218567,5.378582000732422,3.3420701026916504,0.5191489458084106,0.9080851078033447,0.9429787397384644,6.841875076293945,0.45134824607521296,0.4844744522124529
45,1.3100343227386475,27.97357940673828,0.5674400329589844,5.283549785614014,3.336772918701172,0.5702127814292908,0.925106406211853,0.9557446837425232,6.778042793273926,0.45315933087840676,0.48581486381590366
46,1.2262736797332763,28.181947708129883,0.672752320766449,5.645379066467285,3.3933298587799072,0.558297872543335,0.9242553114891052,0.9625532031059265,7.140628337860107,0.4517360688187182,0.48442095378413796
47,1.22722589969635,28.355815887451172,0.6892511248588562,5.52047872543335,3.375063896179199,0.5872340202331543,0.9395744800567627,0.9668084979057312,6.96976375579834,0.4531371518969536,0.4862044951878488
48,1.2094781875610352,28.508501052856445,0.6280132532119751,5.284186363220215,3.341618537902832,0.6000000238418579,0.9446808695793152,0.9659574627876282,6.756259918212891,0.4547403696924448,0.48738580802455544
49,1.156179094314575,28.694839477539062,0.5444377660751343,5.399392127990723,3.3409035205841064,0.5336170196533203,0.9182978868484497,0.957446813583374,6.833244323730469,0.45367848919704556,0.48606317630037665
50,1.2339646100997925,28.934711456298828,0.4884984791278839,5.423856258392334,3.344008445739746,0.525957465171814,0.9208510518074036,0.9540425539016724,6.872206687927246,0.4512141877785325,0.4835507217794657
51,1.2869731903076171,29.1705322265625,0.5317619442939758,5.277453422546387,3.3472506999969482,0.590638279914856,0.9012765884399414,0.9455319046974182,6.892480850219727,0.4536246797069907,0.485846399795264
52,1.1754741072654724,29.468433380126953,0.6001378893852234,5.183734893798828,3.3460206985473633,0.5991489291191101,0.9208510518074036,0.9489361643791199,6.81202507019043,0.45101042883470654,0.4846236640587449
53,1.2121828079223633,29.78937530517578,0.5907460451126099,5.214433193206787,3.3319900035858154,0.5957446694374084,0.9336169958114624,0.9608510732650757,6.703864574432373,0.45306970179080963,0.4854291519150138
54,1.280265736579895,30.06318473815918,0.5674471855163574,5.381190776824951,3.3665568828582764,0.5753191709518433,0.9097872376441956,0.947234034538269,7.00566291809082,0.4520265758037567,0.4846544209867716
55,1.2653266191482544,30.324295043945312,0.5966180562973022,5.485182285308838,3.376965284347534,0.5617021322250366,0.9131914973258972,0.9565957188606262,7.070867538452148,0.45227435091510415,0.4846628368832171
56,1.2667651653289795,30.619449615478516,0.6300170421600342,5.3671183586120605,3.359572172164917,0.5889361500740051,0.936170220375061,0.9736170172691345,6.898365497589111,0.45182222919538617,0.4845665502361953
57,1.2105499505996704,30.944490432739258,0.6257057189941406,5.892610549926758,3.424245595932007,0.5293617248535156,0.9174467921257019,0.9531915187835693,7.488771915435791,0.4535433892160654,0.48644981114193797
58,1.2751474857330323,31.192829132080078,0.6059135794639587,5.854732990264893,3.425136089324951,0.5302127599716187,0.9157446622848511,0.9531915187835693,7.488266468048096,0.4524229480884969,0.48497422179207206
59,1.3136901378631591,31.37647247314453,0.605766773223877,5.550102710723877,3.382996082305908,0.5463829636573792,0.9234042763710022,0.9642553329467773,7.1241912841796875,0.4543733298778534,0.48707528971135616
60,1.2282696485519409,31.499740600585938,0.6227116584777832,5.728638648986816,3.407466411590576,0.537872314453125,0.9114893674850464,0.9455319046974182,7.317799091339111,0.4515506401658058,0.4844405991025269
