iteration,loss,lengthscale,likelyhood_noise,val_MAE,val_NLL,val_PICP50,val_PICP90,val_PICP95,val_RMSE,it_time_training,it_time
0,2.337257242202759,2.5664989948272705,0.9652764797210693,7.221812725067139,3.739873170852661,0.6927659511566162,0.9804255366325378,0.999148964881897,9.115193367004395,0.7702686710981652,0.8262470660265535
1,2.1166349411010743,2.457481622695923,1.23940908908844,7.0540361404418945,3.7564926147460938,0.7217020988464355,0.9948936104774475,1.0,8.835794448852539,0.634690057951957,0.6664235310163349
2,1.9073763132095336,2.8385677337646484,1.469379186630249,6.821741104125977,3.7698915004730225,0.747234046459198,0.999148964881897,1.0,8.472500801086426,0.44057709095068276,0.47205680899787694
3,1.7690065145492553,3.49393630027771,1.6402397155761719,6.365342617034912,3.7719056606292725,0.7906383275985718,0.999148964881897,1.0,8.038261413574219,0.4414823850383982,0.47313949605450034
4,1.7131425857543945,4.248462677001953,1.7380210161209106,6.039132118225098,3.7610929012298584,0.8255318999290466,0.999148964881897,1.0,7.642602443695068,0.4400044350186363,0.4716258450644091
5,1.6951597452163696,5.142980575561523,1.7741752862930298,5.8686041831970215,3.7391207218170166,0.8272340297698975,0.9982978701591492,1.0,7.3508381843566895,0.43736555497162044,0.4689384480006993
6,1.6386379957199098,6.235628604888916,1.761968970298767,5.701590061187744,3.7136385440826416,0.8340425491333008,0.9982978701591492,1.0,7.156249523162842,0.43934735702350736,0.4711984460009262
7,1.593779993057251,7.438083648681641,1.7020384073257446,5.712890148162842,3.6917805671691895,0.8187233805656433,0.9965957403182983,0.999148964881897,7.231590747833252,0.43711072602309287,0.46875585499219596
8,1.5589063882827758,8.765439987182617,1.6057089567184448,5.7390594482421875,3.6667051315307617,0.800000011920929,0.9965957403182983,1.0,7.321207523345947,0.43841411801986396,0.47021632303949445
9,1.4964832544326783,10.076349258422852,1.4737173318862915,5.836585998535156,3.631821393966675,0.7651063799858093,0.9931914806365967,0.999148964881897,7.3885602951049805,0.4374346570111811,0.4689030359731987
10,1.5125075578689575,11.37454891204834,1.3199125528335571,5.968947887420654,3.6085433959960938,0.7336170077323914,0.9838297963142395,0.9974468350410461,7.698832035064697,0.4389941180124879,0.471284318016842
11,1.4775057077407836,12.595977783203125,1.1748454570770264,6.501580715179443,3.600853443145752,0.6348935961723328,0.978723406791687,0.9923404455184937,8.063633918762207,0.4360902790213004,0.46766437496989965
12,1.4336390972137452,13.833663940429688,1.0387412309646606,6.164157867431641,3.5767788887023926,0.6893616914749146,0.9557446837425232,0.978723406791687,8.072125434875488,0.43684149300679564,0.4686921959510073
