iteration,loss,lengthscale,likelyhood_noise,val_MAE,val_NLL,val_PICP50,val_PICP90,val_PICP95,val_RMSE,it_time_training,it_time
0,1.4032487869262695,2.4689173698425293,0.644496738910675,0.5707231760025024,1.202083945274353,0.7105465531349182,0.9761354923248291,0.988452672958374,0.7413631081581116,0.29767164401710033,0.6769408388063312
1,1.381757140159607,2.6473538875579834,0.598244845867157,0.5656435489654541,1.1791759729385376,0.7020785212516785,0.974595844745636,0.986143171787262,0.7331411242485046,0.04851413005962968,0.2275098618119955
2,1.362067699432373,2.8343253135681152,0.5545024871826172,0.5601751208305359,1.1571472883224487,0.68437260389328,0.9692071080207825,0.9822940826416016,0.7273340225219727,0.04208705807104707,0.20676717814058065
3,1.342691421508789,3.0297343730926514,0.5132841467857361,0.5563245415687561,1.136610746383667,0.6743649244308472,0.9645881652832031,0.9822940826416016,0.7236296534538269,0.041990220081061125,0.20767547190189362
4,1.323305368423462,3.233172655105591,0.474613755941391,0.5537365674972534,1.1179901361465454,0.6543495059013367,0.9553502798080444,0.9792147874832153,0.7215589284896851,0.041606581304222345,0.2087011830881238
5,1.3047088384628296,3.443833112716675,0.43853721022605896,0.5527217984199524,1.1014816761016846,0.6304849982261658,0.949191689491272,0.973825991153717,0.7202152609825134,0.04209502600133419,0.2335401070304215
6,1.2877943515777588,3.6604080200195312,0.40513989329338074,0.552881121635437,1.089096188545227,0.5989222526550293,0.9422633051872253,0.9699769020080566,0.7202704548835754,0.04201111616566777,0.24676777888089418
7,1.273300290107727,3.880917549133301,0.37457045912742615,0.5537045001983643,1.0811374187469482,0.5789068341255188,0.9291762709617615,0.9615088701248169,0.7211246490478516,0.04219921538606286,0.26086656423285604
8,1.2618358135223389,4.102475166320801,0.34707286953926086,0.5546071529388428,1.0765810012817383,0.5504233837127686,0.9137798547744751,0.9499614834785461,0.7215331196784973,0.042100944090634584,0.2734387731179595
9,1.2538787126541138,4.321061134338379,0.3230198919773102,0.5559108257293701,1.077539324760437,0.5273287296295166,0.9014626741409302,0.9438029527664185,0.7222406268119812,0.04202744085341692,0.28588215773925185
10,1.24967360496521,4.531460762023926,0.3029228746891022,0.5565822124481201,1.0826466083526611,0.5088529586791992,0.8799076080322266,0.9322555661201477,0.7228772044181824,0.04186247102916241,0.30853372579440475
11,1.2490270137786865,4.727630138397217,0.28736135363578796,0.5575422048568726,1.090736746788025,0.49191686511039734,0.8668206334114075,0.923017680644989,0.7231812477111816,0.041571891866624355,0.32143620401620865
12,1.2511076927185059,4.903684139251709,0.27678924798965454,0.5578519105911255,1.0992149114608765,0.4795996844768524,0.8552733063697815,0.9153195023536682,0.7232998609542847,0.04202829813584685,0.3247105567716062
13,1.2544703483581543,5.055287837982178,0.2713059186935425,0.5580660104751587,1.1051545143127441,0.47113165259361267,0.8475750684738159,0.9107005596160889,0.7225008010864258,0.04207475297152996,0.32706743478775024
14,1.2574775218963623,5.18068265914917,0.2706027925014496,0.5577175617218018,1.1087965965270996,0.468822181224823,0.8383371829986572,0.9099307060241699,0.721783459186554,0.04188803397119045,0.3243760368786752
15,1.2589060068130493,5.280797481536865,0.2741304636001587,0.5577521324157715,1.1103721857070923,0.4649730622768402,0.8375673890113831,0.9083910584449768,0.7214494347572327,0.041640077251940966,0.3256829772144556
16,1.2582759857177734,5.358608245849609,0.2813015580177307,0.5568790435791016,1.1070796251296997,0.4672825336456299,0.8406466245651245,0.912240207195282,0.7203370928764343,0.044276968110352755,0.31714137690141797
17,1.2557644844055176,5.418303966522217,0.29159265756607056,0.5565424561500549,1.1028345823287964,0.4726713001728058,0.8429561257362366,0.9145496487617493,0.7196946740150452,0.042264065239578485,0.31381580233573914
18,1.2519237995147705,5.464601516723633,0.30455389618873596,0.5559258460998535,1.0973613262176514,0.4819091558456421,0.846805214881897,0.9176289439201355,0.718994140625,0.042086595203727484,0.31546389032155275
19,1.2474197149276733,5.502274990081787,0.31977689266204834,0.5552589297294617,1.0913485288619995,0.48421862721443176,0.8545034527778625,0.9199383854866028,0.7183285355567932,0.04218286834657192,0.31273753894492984
20,1.2428573369979858,5.535852432250977,0.33685582876205444,0.5547880530357361,1.0860798358917236,0.4926866888999939,0.8652809858322144,0.9253271818161011,0.7178072929382324,0.04212012095376849,0.31279121711850166
21,1.2386934757232666,5.569406032562256,0.35535627603530884,0.5544436573982239,1.0813230276107788,0.5011547207832336,0.8768283128738403,0.9284064769744873,0.7171546816825867,0.04246040107682347,0.3110669981688261
22,1.2352094650268555,5.606416702270508,0.3747979700565338,0.5541325211524963,1.07773756980896,0.5103926062583923,0.886836051940918,0.9322555661201477,0.7166902422904968,0.042130909860134125,0.3125410070642829
23,1.232519268989563,5.649684906005859,0.39465317130088806,0.5541922450065613,1.0754454135894775,0.5142416954040527,0.8953040838241577,0.9384141564369202,0.7165109515190125,0.041725552175194025,0.2969302851706743
24,1.2305985689163208,5.701303482055664,0.41436055302619934,0.5541946291923523,1.0739450454711914,0.5227097868919373,0.8991531729698181,0.9422633051872253,0.7162378430366516,0.041298887226730585,0.29914010129868984
25,1.2293277978897095,5.76267671585083,0.43335190415382385,0.5538472533226013,1.0728713274002075,0.5257890820503235,0.9022324681282043,0.9453426003456116,0.7158994674682617,0.04188096383586526,0.29945631697773933
26,1.2285305261611938,5.834583759307861,0.45108601450920105,0.5528067350387573,1.0719387531280518,0.5334873199462891,0.9083910584449768,0.9476520419120789,0.7152943015098572,0.041270510759204626,0.29754851292818785
27,1.228013277053833,5.917273044586182,0.467084139585495,0.552812397480011,1.0718210935592651,0.5350269675254822,0.9091609120368958,0.948421835899353,0.7150388360023499,0.041533720679581165,0.29853716772049665
28,1.2275943756103516,6.010563850402832,0.4809606969356537,0.5525314807891846,1.0716475248336792,0.5396459102630615,0.911470353603363,0.9507313370704651,0.7146490216255188,0.04126049717888236,0.29661651607602835
29,1.2271232604980469,6.113945960998535,0.49244436621665955,0.5525220632553101,1.0717058181762695,0.5396459102630615,0.9137798547744751,0.9507313370704651,0.7144588232040405,0.0415332680568099,0.29770886432379484
30,1.226492166519165,6.226665019989014,0.5013878345489502,0.5523321628570557,1.071562647819519,0.5381062626838684,0.9145496487617493,0.9515011310577393,0.7141633033752441,0.04167066281661391,0.2868315288797021
