"Step","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_PICP","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_PICP__MIN","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_PICP__MAX"
"0","0.9618412256240845","0.9618412256240845","0.9618412256240845"
"1","0.9774764776229858","0.9774764776229858","0.9774764776229858"
"2","0.9857861399650574","0.9857861399650574","0.9857861399650574"
"3","0.9879728555679321","0.9879728555679321","0.9879728555679321"
"4","0.9891756176948547","0.9891756176948547","0.9891756176948547"
"5","0.988082230091095","0.988082230091095","0.988082230091095"
"6","0.9857861399650574","0.9857861399650574","0.9857861399650574"
"7","0.982724666595459","0.982724666595459","0.982724666595459"
"8","0.9805379509925842","0.9805379509925842","0.9805379509925842"
"9","0.9781325459480286","0.9781325459480286","0.9781325459480286"
"10","0.9767111539840698","0.9767111539840698","0.9767111539840698"
"11","0.9724469780921936","0.9724469780921936","0.9724469780921936"
"12","0.9664334058761597","0.9664334058761597","0.9664334058761597"
"13","0.9611852169036865","0.9611852169036865","0.9611852169036865"
"14","0.9573584198951721","0.9573584198951721","0.9573584198951721"
"15","0.9539689421653748","0.9539689421653748","0.9539689421653748"
"16","0.9499234557151794","0.9499234557151794","0.9499234557151794"
"17","0.9478460550308228","0.9478460550308228","0.9478460550308228"
"18","0.946752667427063","0.946752667427063","0.946752667427063"
"19","0.9462059736251831","0.9462059736251831","0.9462059736251831"
"20","0.946424663066864","0.946424663066864","0.946424663066864"
"21","0.9474086761474609","0.9474086761474609","0.9474086761474609"
"22","0.9501421451568604","0.9501421451568604","0.9501421451568604"
"23","0.952547550201416","0.952547550201416","0.952547550201416"
"24","0.9565930366516113","0.9565930366516113","0.9565930366516113"
"25","0.95856112241745","0.95856112241745","0.95856112241745"
"26","0.9599825143814087","0.9599825143814087","0.9599825143814087"
"27","0.9618412256240845","0.9618412256240845","0.9618412256240845"
"28","0.963699996471405","0.963699996471405","0.963699996471405"
"29","0.9649026989936829","0.9649026989936829","0.9649026989936829"
"30","0.9662147164344788","0.9662147164344788","0.9662147164344788"
"31","0.9665427803993225","0.9665427803993225","0.9665427803993225"
"32","0.9665427803993225","0.9665427803993225","0.9665427803993225"
"33","0.9661054015159607","0.9661054015159607","0.9661054015159607"
"34","0.9658867120742798","0.9658867120742798","0.9658867120742798"
"35","0.9652307033538818","0.9652307033538818","0.9652307033538818"
"36","0.964028000831604","0.964028000831604","0.964028000831604"
"37","0.9627159237861633","0.9627159237861633","0.9627159237861633"
"38","0.9605292081832886","0.9605292081832886","0.9605292081832886"
"39","0.9594358205795288","0.9594358205795288","0.9594358205795288"
"40","0.958342432975769","0.958342432975769","0.958342432975769"
"41","0.9572490453720093","0.9572490453720093","0.9572490453720093"
"42","0.9563743472099304","0.9563743472099304","0.9563743472099304"
"43","0.9560463428497314","0.9560463428497314","0.9560463428497314"
"44","0.9556090235710144","0.9556090235710144","0.9556090235710144"
"45","0.9556090235710144","0.9556090235710144","0.9556090235710144"
"46","0.9558277130126953","0.9558277130126953","0.9558277130126953"
"47","0.9561557173728943","0.9561557173728943","0.9561557173728943"
"48","0.9567024111747742","0.9567024111747742","0.9567024111747742"
"49","0.9574677348136902","0.9574677348136902","0.9574677348136902"
