"Step","CAGP_UCIProtein_42_13-08-2026_14-19-40 - loss","CAGP_UCIProtein_42_13-08-2026_14-19-40 - loss__MIN","CAGP_UCIProtein_42_13-08-2026_14-19-40 - loss__MAX"
"0","1.3565016984939575","1.3565016984939575","1.3565016984939575"
"1","1.4278379678726196","1.4278379678726196","1.4278379678726196"
"2","1.3685386180877686","1.3685386180877686","1.3685386180877686"
"3","1.2917362451553345","1.2917362451553345","1.2917362451553345"
"4","1.2591063976287842","1.2591063976287842","1.2591063976287842"
"5","1.238686442375183","1.238686442375183","1.238686442375183"
"6","1.2246146202087402","1.2246146202087402","1.2246146202087402"
"7","1.2119566202163696","1.2119566202163696","1.2119566202163696"
"8","1.200575828552246","1.200575828552246","1.200575828552246"
"9","1.1905579566955566","1.1905579566955566","1.1905579566955566"
"10","1.1819003820419312","1.1819003820419312","1.1819003820419312"
"11","1.1744171380996704","1.1744171380996704","1.1744171380996704"
"12","1.1684975624084473","1.1684975624084473","1.1684975624084473"
"13","1.1640979051589966","1.1640979051589966","1.1640979051589966"
"14","1.1612286567687988","1.1612286567687988","1.1612286567687988"
"15","1.1599606275558472","1.1599606275558472","1.1599606275558472"
"16","1.1593912839889526","1.1593912839889526","1.1593912839889526"
"17","1.1594955921173096","1.1594955921173096","1.1594955921173096"
"18","1.159998893737793","1.159998893737793","1.159998893737793"
"19","1.1596158742904663","1.1596158742904663","1.1596158742904663"
"20","1.1581214666366577","1.1581214666366577","1.1581214666366577"
"21","1.1558200120925903","1.1558200120925903","1.1558200120925903"
"22","1.153064250946045","1.153064250946045","1.153064250946045"
"23","1.1503344774246216","1.1503344774246216","1.1503344774246216"
"24","1.1478888988494873","1.1478888988494873","1.1478888988494873"
"25","1.1458414793014526","1.1458414793014526","1.1458414793014526"
"26","1.1443051099777222","1.1443051099777222","1.1443051099777222"
"27","1.1432641744613647","1.1432641744613647","1.1432641744613647"
"28","1.1425811052322388","1.1425811052322388","1.1425811052322388"
"29","1.142147183418274","1.142147183418274","1.142147183418274"
"30","1.1418672800064087","1.1418672800064087","1.1418672800064087"
"31","1.1415846347808838","1.1415846347808838","1.1415846347808838"
