"Step","CAGP_UCIProtein_42_13-08-2026_14-19-40 - loss","CAGP_UCIProtein_42_13-08-2026_14-19-40 - loss__MIN","CAGP_UCIProtein_42_13-08-2026_14-19-40 - loss__MAX"
"32","1.141167163848877","1.141167163848877","1.141167163848877"
"33","1.1405824422836304","1.1405824422836304","1.1405824422836304"
"34","1.1398276090621948","1.1398276090621948","1.1398276090621948"
"35","1.1389172077178955","1.1389172077178955","1.1389172077178955"
"36","1.137924313545227","1.137924313545227","1.137924313545227"
"37","1.1369160413742065","1.1369160413742065","1.1369160413742065"
"38","1.135919213294983","1.135919213294983","1.135919213294983"
"39","1.1349841356277466","1.1349841356277466","1.1349841356277466"
"40","1.1341614723205566","1.1341614723205566","1.1341614723205566"
"41","1.1334587335586548","1.1334587335586548","1.1334587335586548"
"42","1.1328519582748413","1.1328519582748413","1.1328519582748413"
"43","1.1322834491729736","1.1322834491729736","1.1322834491729736"
"44","1.1316967010498047","1.1316967010498047","1.1316967010498047"
"45","1.1310597658157349","1.1310597658157349","1.1310597658157349"
"46","1.13034987449646","1.13034987449646","1.13034987449646"
"47","1.1295742988586426","1.1295742988586426","1.1295742988586426"
"48","1.1287596225738525","1.1287596225738525","1.1287596225738525"
"49","1.127947211265564","1.127947211265564","1.127947211265564"
"50","1.1271729469299316","1.1271729469299316","1.1271729469299316"
"51","1.126429557800293","1.126429557800293","1.126429557800293"
"52","1.1257154941558838","1.1257154941558838","1.1257154941558838"
"53","1.1250330209732056","1.1250330209732056","1.1250330209732056"
"54","1.124360203742981","1.124360203742981","1.124360203742981"
"55","1.1236884593963623","1.1236884593963623","1.1236884593963623"
"56","1.1230214834213257","1.1230214834213257","1.1230214834213257"
"57","1.1223478317260742","1.1223478317260742","1.1223478317260742"
"58","1.1216514110565186","1.1216514110565186","1.1216514110565186"
"59","1.120927333831787","1.120927333831787","1.120927333831787"
"60","1.1201804876327515","1.1201804876327515","1.1201804876327515"
"61","1.119428277015686","1.119428277015686","1.119428277015686"
"62","1.118691086769104","1.118691086769104","1.118691086769104"
"63","1.1179720163345337","1.1179720163345337","1.1179720163345337"
"64","1.117274522781372","1.117274522781372","1.117274522781372"
"65","1.1165974140167236","1.1165974140167236","1.1165974140167236"
"66","1.1159337759017944","1.1159337759017944","1.1159337759017944"
"67","1.1152801513671875","1.1152801513671875","1.1152801513671875"
"68","1.1146342754364014","1.1146342754364014","1.1146342754364014"
"69","1.1139975786209106","1.1139975786209106","1.1139975786209106"
"70","1.113366723060608","1.113366723060608","1.113366723060608"
"71","1.1127429008483887","1.1127429008483887","1.1127429008483887"
"72","1.1121270656585693","1.1121270656585693","1.1121270656585693"
"73","1.111514925956726","1.111514925956726","1.111514925956726"
"74","1.1109015941619873","1.1109015941619873","1.1109015941619873"
"75","1.110283613204956","1.110283613204956","1.110283613204956"
"76","1.109666347503662","1.109666347503662","1.109666347503662"
"77","1.1090519428253174","1.1090519428253174","1.1090519428253174"
"78","1.1084364652633667","1.1084364652633667","1.1084364652633667"
"79","1.1078194379806519","1.1078194379806519","1.1078194379806519"
"80","1.1072052717208862","1.1072052717208862","1.1072052717208862"
"81","1.1065969467163086","1.1065969467163086","1.1065969467163086"
"82","1.1059949398040771","1.1059949398040771","1.1059949398040771"
"83","1.1053996086120605","1.1053996086120605","1.1053996086120605"
"84","1.1048104763031006","1.1048104763031006","1.1048104763031006"
"85","1.1042284965515137","1.1042284965515137","1.1042284965515137"
"86","1.1036537885665894","1.1036537885665894","1.1036537885665894"
"87","1.103085994720459","1.103085994720459","1.103085994720459"
"88","1.1025238037109375","1.1025238037109375","1.1025238037109375"
"89","1.1019679307937622","1.1019679307937622","1.1019679307937622"
"90","1.1014180183410645","1.1014180183410645","1.1014180183410645"
"91","1.1008758544921875","1.1008758544921875","1.1008758544921875"
"92","1.1003422737121582","1.1003422737121582","1.1003422737121582"
"93","1.0998166799545288","1.0998166799545288","1.0998166799545288"
"94","1.0992991924285889","1.0992991924285889","1.0992991924285889"
"95","1.0987896919250488","1.0987896919250488","1.0987896919250488"
"96","1.098286509513855","1.098286509513855","1.098286509513855"
"97","1.0977888107299805","1.0977888107299805","1.0977888107299805"
"98","1.0972965955734253","1.0972965955734253","1.0972965955734253"
"99","1.0968098640441895","1.0968098640441895","1.0968098640441895"
