"Step","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_RMSE","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_RMSE__MIN","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_RMSE__MAX"
"41","4.349586009979248","4.349586009979248","4.349586009979248"
"42","4.345263481140137","4.345263481140137","4.345263481140137"
"43","4.341493606567383","4.341493606567383","4.341493606567383"
"44","4.3378825187683105","4.3378825187683105","4.3378825187683105"
"45","4.334087371826172","4.334087371826172","4.334087371826172"
"46","4.330050468444824","4.330050468444824","4.330050468444824"
"47","4.325893402099609","4.325893402099609","4.325893402099609"
"48","4.321714878082275","4.321714878082275","4.321714878082275"
"49","4.317420959472656","4.317420959472656","4.317420959472656"
"50","4.31271505355835","4.31271505355835","4.31271505355835"
"51","4.307547092437744","4.307547092437744","4.307547092437744"
"52","4.302138805389404","4.302138805389404","4.302138805389404"
"53","4.296627044677734","4.296627044677734","4.296627044677734"
"54","4.290981292724609","4.290981292724609","4.290981292724609"
"55","4.285011291503906","4.285011291503906","4.285011291503906"
"56","4.2785515785217285","4.2785515785217285","4.2785515785217285"
"57","4.271752834320068","4.271752834320068","4.271752834320068"
"58","4.265034198760986","4.265034198760986","4.265034198760986"
"59","4.258696556091309","4.258696556091309","4.258696556091309"
"60","4.252697944641113","4.252697944641113","4.252697944641113"
"61","4.246811389923096","4.246811389923096","4.246811389923096"
"62","4.240933895111084","4.240933895111084","4.240933895111084"
"63","4.2352705001831055","4.2352705001831055","4.2352705001831055"
"64","4.2300496101379395","4.2300496101379395","4.2300496101379395"
"65","4.225220680236816","4.225220680236816","4.225220680236816"
"66","4.22056245803833","4.22056245803833","4.22056245803833"
"67","4.215974807739258","4.215974807739258","4.215974807739258"
"68","4.211594581604004","4.211594581604004","4.211594581604004"
"69","4.207590579986572","4.207590579986572","4.207590579986572"
"70","4.2039947509765625","4.2039947509765625","4.2039947509765625"
"71","4.200693607330322","4.200693607330322","4.200693607330322"
"72","4.1975297927856445","4.1975297927856445","4.1975297927856445"
"73","4.194347858428955","4.194347858428955","4.194347858428955"
"74","4.190982341766357","4.190982341766357","4.190982341766357"
"75","4.187310218811035","4.187310218811035","4.187310218811035"
"76","4.183260917663574","4.183260917663574","4.183260917663574"
"77","4.178821563720703","4.178821563720703","4.178821563720703"
"78","4.174082279205322","4.174082279205322","4.174082279205322"
"79","4.169229507446289","4.169229507446289","4.169229507446289"
"80","4.1644287109375","4.1644287109375","4.1644287109375"
"81","4.159692287445068","4.159692287445068","4.159692287445068"
"82","4.154914379119873","4.154914379119873","4.154914379119873"
"83","4.150034427642822","4.150034427642822","4.150034427642822"
"84","4.14512300491333","4.14512300491333","4.14512300491333"
"85","4.140252113342285","4.140252113342285","4.140252113342285"
"86","4.135412693023682","4.135412693023682","4.135412693023682"
"87","4.130602836608887","4.130602836608887","4.130602836608887"
"88","4.125898361206055","4.125898361206055","4.125898361206055"
"89","4.121346473693848","4.121346473693848","4.121346473693848"
"90","4.116910934448242","4.116910934448242","4.116910934448242"
"91","4.112545967102051","4.112545967102051","4.112545967102051"
"92","4.1082539558410645","4.1082539558410645","4.1082539558410645"
"93","4.10404109954834","4.10404109954834","4.10404109954834"
"94","4.099905490875244","4.099905490875244","4.099905490875244"
"95","4.095879554748535","4.095879554748535","4.095879554748535"
"96","4.091989517211914","4.091989517211914","4.091989517211914"
"97","4.0881876945495605","4.0881876945495605","4.0881876945495605"
"98","4.084386825561523","4.084386825561523","4.084386825561523"
"99","4.080562114715576","4.080562114715576","4.080562114715576"
