"Step","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_RMSE","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_RMSE__MIN","CAGP_UCIProtein_42_13-08-2026_14-19-40 - val_RMSE__MAX"
"0","5.47272253036499","5.47272253036499","5.47272253036499"
"1","5.177826404571533","5.177826404571533","5.177826404571533"
"2","4.787909030914307","4.787909030914307","4.787909030914307"
"3","4.630154132843018","4.630154132843018","4.630154132843018"
"4","4.560044765472412","4.560044765472412","4.560044765472412"
"5","4.540362358093262","4.540362358093262","4.540362358093262"
"6","4.527204990386963","4.527204990386963","4.527204990386963"
"7","4.520264625549316","4.520264625549316","4.520264625549316"
"8","4.521188735961914","4.521188735961914","4.521188735961914"
"9","4.527704238891602","4.527704238891602","4.527704238891602"
"10","4.534548759460449","4.534548759460449","4.534548759460449"
"11","4.539152145385742","4.539152145385742","4.539152145385742"
"12","4.537623882293701","4.537623882293701","4.537623882293701"
"13","4.529764652252197","4.529764652252197","4.529764652252197"
"14","4.518617630004883","4.518617630004883","4.518617630004883"
"15","4.504153728485107","4.504153728485107","4.504153728485107"
"16","4.490261554718018","4.490261554718018","4.490261554718018"
"17","4.479350566864014","4.479350566864014","4.479350566864014"
"18","4.469383716583252","4.469383716583252","4.469383716583252"
"19","4.461086273193359","4.461086273193359","4.461086273193359"
"20","4.454860210418701","4.454860210418701","4.454860210418701"
"21","4.449542999267578","4.449542999267578","4.449542999267578"
"22","4.444386959075928","4.444386959075928","4.444386959075928"
"23","4.438838481903076","4.438838481903076","4.438838481903076"
"24","4.4328837394714355","4.4328837394714355","4.4328837394714355"
"25","4.42721700668335","4.42721700668335","4.42721700668335"
"26","4.422306537628174","4.422306537628174","4.422306537628174"
"27","4.418153762817383","4.418153762817383","4.418153762817383"
"28","4.414828777313232","4.414828777313232","4.414828777313232"
"29","4.412296295166016","4.412296295166016","4.412296295166016"
"30","4.409950256347656","4.409950256347656","4.409950256347656"
"31","4.4070353507995605","4.4070353507995605","4.4070353507995605"
"32","4.40317440032959","4.40317440032959","4.40317440032959"
"33","4.398240089416504","4.398240089416504","4.398240089416504"
"34","4.392395496368408","4.392395496368408","4.392395496368408"
"35","4.386173248291016","4.386173248291016","4.386173248291016"
"36","4.379909515380859","4.379909515380859","4.379909515380859"
"37","4.373521327972412","4.373521327972412","4.373521327972412"
"38","4.367018699645996","4.367018699645996","4.367018699645996"
"39","4.36064338684082","4.36064338684082","4.36064338684082"
"40","4.354725360870361","4.354725360870361","4.354725360870361"
