iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.2825675755672075,2.219054694310369,1,0.2605804624275046,3.6603608870108664,2.957813272738602,0.5352432727813721,0.8919963836669922,0.9397453665733337,4.77312659361808,0.27826417051255703,0.32715191319584846
1,1.1769079090676726,2.2981422132049527,1,0.18765689937201321,3.6109629314983134,2.9640704837334075,0.5122783184051514,0.8581173419952393,0.9147339463233948,4.749963668550552,0.01805741712450981,0.03601343370974064
2,1.1717732459170735,2.2792733126463336,1,0.2002837622189575,3.609640063088405,2.957475307047038,0.5197817087173462,0.8651660084724426,0.9206457734107971,4.743230071215008,0.018418854102492332,0.03583416622132063
3,1.1700514412860619,2.278091135521639,1,0.20522729682800575,3.59157462938715,2.9497564303174735,0.52614825963974,0.8728967905044556,0.9261027574539185,4.724318953422155,0.022802159190177917,0.04047267884016037
4,1.1682975860947131,2.299579615754845,1,0.19857037024666008,3.570702457158458,2.9457635869640306,0.531377911567688,0.8728967905044556,0.9274670481681824,4.7111311432737395,0.018129256553947926,0.03544654790312052
5,1.1675664709813098,2.3321011767811615,1,0.19303321952052505,3.5526484917123304,2.9421146935876026,0.531377911567688,0.873351514339447,0.9272396564483643,4.695506280586225,0.018351024016737938,0.035892304964363575
6,1.1670098573774497,2.4494784689199376,1,0.18846405593341448,3.526531050663969,2.936105422393714,0.5300136208534241,0.8694861531257629,0.9254206418991089,4.674216182035428,0.018535363487899303,0.031243951991200447
7,1.1662587708689471,2.625433244360475,1,0.1862722716859919,3.5222027153221425,2.9323619694981624,0.5343337655067444,0.875852644443512,0.9288312792778015,4.657992085213413,0.013563851825892925,0.026240460574626923
8,1.1660367895532642,2.587495904157743,1,0.18958619425467235,3.522960910793086,2.934476318059727,0.5300136208534241,0.8719872832298279,0.9270122647285461,4.6641554523326,0.013680701144039631,0.026383159682154655
9,1.165783107975618,2.6400531534281644,1,0.19579750741819424,3.523523033622876,2.9349861521698157,0.5291041135787964,0.873351514339447,0.926784873008728,4.665270315088017,0.013857110403478146,0.02662701904773712
10,1.1656253569519686,2.8938647717305654,1,0.22356264597852632,3.529177654827128,2.936278553890623,0.5311505198478699,0.8742610216140747,0.9288312792778015,4.6653675641468215,0.013762510381639004,0.02636768016964197
11,1.1652045072013975,3.1728533586448684,1,0.2438271448513932,3.533834890201316,2.9371640726649395,0.5318326354026794,0.875852644443512,0.9299681782722473,4.664015501569489,0.014269775710999966,0.02695084549486637
12,1.1649448980682644,3.488763077693743,1,0.25769782501318983,3.5372891375021798,2.938544823964522,0.5304684042930603,0.8744884133338928,0.9290586709976196,4.661374328560271,0.01418070774525404,0.026828937232494354
13,1.1647096197492033,3.6484272228739503,1,0.2615621580150795,3.5396202934967245,2.93943518963681,0.5291041135787964,0.8726693987846375,0.9288312792778015,4.662477103584787,0.014381274580955505,0.02695725578814745
14,1.1646701565977935,3.715717664944905,1,0.2647938519796208,3.5412360776067566,2.9398608500912213,0.5272851586341858,0.8731241226196289,0.9288312792778015,4.662911578301558,0.01420010719448328,0.02691971603780985
15,1.16465619981894,3.782739159447106,1,0.266167542819051,3.542919639815803,2.9404513793885525,0.5279672741889954,0.8724420070648193,0.9286038875579834,4.664184723224308,0.014319296926259995,0.026868117041885853
16,1.1646371689485595,3.872696176940725,1,0.26750442270997865,3.544910597387274,2.9410737537593383,0.5277398824691772,0.8715324997901917,0.9290586709976196,4.666385214352356,0.014366495423018932,0.027077704668045044
17,1.1646137100096514,3.909946591856316,1,0.26384272479518306,3.544447342352383,2.9414190660955426,0.5272851586341858,0.8699408769607544,0.9279217720031738,4.6677972540404316,0.014534433372318745,0.027150283567607403
18,1.164598934297612,3.9508919536619707,1,0.26389240871735914,3.544994293309191,2.941412552430806,0.5272851586341858,0.8710777759552002,0.9286038875579834,4.668443469170299,0.014628903940320015,0.027288952842354774
