iteration,loss,lengthscale,outputscale,likelyhood_noise,test_MAE,test_NLL,test_PICP50,test_PICP90,test_PICP95,test_RMSE,it_time_training,it_time
0,1.3974297862277523,3.151194606600934,0.5063437467855668,0.43762485499525866,6.658922574403995,3.536579858195929,0.5357142686843872,0.9166666865348816,0.9642857313156128,8.290059103920978,0.262174766510725,0.2999341394752264
1,1.3561173821431585,3.220994603992828,0.474092651373177,0.3483260443032503,6.668301640674104,3.5288454157446862,0.48469388484954834,0.8673469424247742,0.9557822942733765,8.258309992504222,0.02159220725297928,0.03563275374472141
2,1.3448892328277267,3.2533042341011718,0.5100199354408769,0.3483914731608862,6.609439097925579,3.5201939471497403,0.49829933047294617,0.8792517185211182,0.9642857313156128,8.190245474273535,0.021234162151813507,0.035056439228355885
3,1.337234255678233,4.341762268433402,1.1416627534227948,0.172180455717936,5.743602584692094,3.43219394588802,0.6105442047119141,0.9574829936027527,0.9812925457954407,7.208088408512643,0.021429569460451603,0.03514530882239342
4,1.2625408460698655,4.885847160019304,1.10272259954983,0.14133113371997158,5.5936199798764505,3.397981310594902,0.5918367505073547,0.9506802558898926,0.9795918464660645,7.05564507179137,0.021614687517285347,0.03508983924984932
5,1.229766498575898,6.388837742847937,0.7928391914774531,0.10927078469502399,5.432052329468594,3.3603534752985333,0.47789114713668823,0.9064626097679138,0.9438775777816772,6.8682416345508575,0.032512095756828785,0.04600898735225201
6,1.1763146307791532,6.482207129073251,0.7467111694596625,0.1321437412027691,5.426246719921404,3.3464349746976763,0.47789114713668823,0.9081632494926453,0.9489796161651611,6.831214207227543,0.02191478479653597,0.035501125268638134
7,1.1658640362172519,7.023027452839273,0.6258180079990388,0.2096553581845519,5.389425662318781,3.3174386383034156,0.4829931855201721,0.9132652878761292,0.954081654548645,6.7517213816349155,0.020090823993086815,0.03076581470668316
8,1.1544110674507522,14.142372615558623,0.7178924990337517,0.42074620990796396,5.098445658132799,3.2672224232059635,0.5510203838348389,0.9574829936027527,0.9778911471366882,6.256705802121821,0.027591216377913952,0.03883097134530544
9,1.115612111884577,18.169180675676234,1.0316740034192373,0.24906139465981653,4.974604672837123,3.2484423794974324,0.4591836631298065,0.9200680255889893,0.9523809552192688,6.16283197464854,0.016480610705912113,0.02705438155680895
10,1.0897548359146865,21.071147226885248,0.9685612533136352,0.3192079216536275,4.930607176763805,3.229640422260103,0.49829933047294617,0.9387755393981934,0.9642857313156128,6.072538448281831,0.016521211713552475,0.027078392915427685
11,1.0746988482334947,26.676988479025724,0.937917272023207,0.3718937042453428,4.888561692706464,3.2226100237465887,0.5085033774375916,0.9387755393981934,0.9642857313156128,6.01226152897505,0.01695148553699255,0.027526517398655415
12,1.0643962036037942,31.54727140505251,0.9274173892095214,0.37232616575405997,4.867354311540746,3.2177596768978867,0.5068027377128601,0.9353741407394409,0.9625850319862366,5.994510059713878,0.016713458113372326,0.027357938699424267
