iteration,loss,lengthscale,likelyhood_noise,val_MAE,val_NLL,val_PICP50,val_PICP90,val_PICP95,val_RMSE,it_time_training,it_time
0,1.627339482307434,2.4689173698425293,0.7444967031478882,0.5695183277130127,1.1724894114525655,0.6797536611557007,0.9653579592704773,0.986143171787262,0.7286390066146851,2.5848125299671665,2.7956304039107636
1,1.5093029737472534,2.6450207233428955,0.7936561107635498,0.553263247013092,1.1597125327010562,0.7082371115684509,0.974595844745636,0.9876828193664551,0.7109551429748535,1.4700443550245836,1.66245574306231
2,1.4469022750854492,2.8246564865112305,0.8375215530395508,0.5454480051994324,1.1521697461986546,0.7036181688308716,0.973825991153717,0.9869130253791809,0.7010733485221863,1.4347138910088688,1.6242383370408788
3,1.4067481756210327,3.0069472789764404,0.872840404510498,0.5404307842254639,1.1462307660248736,0.7005388736724854,0.973825991153717,0.986143171787262,0.6948410868644714,1.4324203518917784,1.6222356539219618
4,1.3784610033035278,3.19171142578125,0.8973172307014465,0.5366724133491516,1.1402814933076886,0.6997690796852112,0.9753656387329102,0.9869130253791809,0.690692663192749,1.4399338839575648,1.6358032549032941
5,1.3567614555358887,3.37886905670166,0.9101744294166565,0.5340932607650757,1.1338417951248299,0.7013087272644043,0.973825991153717,0.9876828193664551,0.6882002353668213,1.4655000669881701,1.6554344390751794
6,1.3388969898223877,3.5680553913116455,0.9120257496833801,0.5330724120140076,1.1267293965251202,0.6836027503013611,0.9722864031791687,0.9869130253791809,0.6869441866874695,1.4289378609973937,1.619167904020287
7,1.3233327865600586,3.7586019039154053,0.9043064117431641,0.5329442024230957,1.1187774019739745,0.6797536611557007,0.9699769020080566,0.9846035242080688,0.6863008737564087,1.4304718630155548,1.6202251740032807
8,1.3089419603347778,3.9497268199920654,0.8887088298797607,0.5329758524894714,1.1099724894504202,0.6643571853637695,0.9676674604415894,0.9838337302207947,0.6857975721359253,1.4318762379698455,1.6224197678966448
9,1.2951539754867554,4.140659809112549,0.8668746948242188,0.5333021283149719,1.100601976330806,0.6520400047302246,0.9653579592704773,0.9822940826416016,0.6853614449501038,1.4354014579439536,1.6276472449535504
10,1.2819457054138184,4.330653190612793,0.8402886390686035,0.5334290266036987,1.0910467625576334,0.6412625312805176,0.960739016532898,0.9807544350624084,0.6850482225418091,1.4374945629388094,1.6333837009733543
11,1.2694686651229858,4.518965244293213,0.810257613658905,0.5334182381629944,1.0815684236650045,0.6312547922134399,0.9561200737953186,0.9792147874832153,0.6847966909408569,1.4713964880211279,1.663689831038937
12,1.2577886581420898,4.704857349395752,0.7779173851013184,0.5333706736564636,1.0723668007528562,0.6135488748550415,0.9522709846496582,0.9784449338912964,0.6845186948776245,1.4401698070578277,1.6295948129845783
13,1.2469528913497925,4.887604236602783,0.7442538142204285,0.5332309603691101,1.0636660269564466,0.6012316942214966,0.9476520419120789,0.973825991153717,0.6841903924942017,1.4301643630024046,1.6200188070069999
14,1.2370980978012085,5.066506385803223,0.710132360458374,0.5330268740653992,1.055680532669867,0.5866050720214844,0.9430330991744995,0.9715165495872498,0.6838081479072571,1.4278070300351828,1.6176228830590844
15,1.228394865989685,5.240896224975586,0.6763264536857605,0.5328221321105957,1.0486136844877858,0.5712085962295532,0.9276366233825684,0.9676674604415894,0.6833856105804443,1.4302315120585263,1.6200933440122753
16,1.2209912538528442,5.410136699676514,0.6435421705245972,0.5326042771339417,1.0427056580295833,0.5635104179382324,0.9245573282241821,0.9653579592704773,0.682993471622467,1.4358928700676188,1.6321783469757065
