iteration,loss,lengthscale,likelyhood_noise,val_MAE,val_NLL,val_PICP,val_RMSE,val_pred_mean,val_pred_median,val_pred_q05,val_pred_q95,val_pred_std_mean
0,1.3239599466323853,2.201906442642212,0.644496738910675,4.144010066986084,3.0650784969329834,0.9875355362892151,5.0855488777160645,0.0377117283642292,-0.010573722422122955,-0.7668085694313049,1.0311368703842163,0.9924672245979309
1,1.3113270998001099,2.353689670562744,0.5983585119247437,4.112600803375244,3.05063533782959,0.9811939597129822,5.060239315032959,0.048040781170129776,-0.0030563324689865112,-0.778447151184082,1.0741863250732422,0.9495068192481995
2,1.2921850681304932,2.4962949752807617,0.5553854703903198,4.080866813659668,3.0394034385681152,0.9750710725784302,5.0402116775512695,0.054371438920497894,0.0009239166975021362,-0.7896822094917297,1.1137745380401611,0.9104112386703491
3,1.294847011566162,2.6455771923065186,0.5165567398071289,4.051949977874756,3.0315303802490234,0.9666520953178406,5.026246547698975,0.05136071890592575,-0.010218232870101929,-0.8015391826629639,1.1427280902862549,0.8736392855644226
4,1.268537998199463,2.802990674972534,0.4811117351055145,4.035092830657959,3.028479814529419,0.958342432975769,5.023189544677734,0.05079545080661774,-0.016179710626602173,-0.8089199662208557,1.173572063446045,0.8378835320472717
5,1.2690191268920898,2.9508628845214844,0.4511876702308655,4.0222320556640625,3.0286855697631836,0.9485020637512207,5.021392822265625,0.04977782815694809,-0.019984081387519836,-0.8155114650726318,1.1903648376464844,0.807341992855072
6,1.2588860988616943,3.0908021926879883,0.4259377121925354,4.008033752441406,3.03075909614563,0.940192461013794,5.0178093910217285,0.04853400960564613,-0.027354955673217773,-0.8251554369926453,1.1997851133346558,0.7812374830245972
7,1.2504143714904785,3.217463970184326,0.4089421033859253,3.993710994720459,3.0318214893341064,0.9343975782394409,5.007666110992432,0.0441206730902195,-0.030929911881685257,-0.8350257277488708,1.2015085220336914,0.7625298500061035
8,1.2539598941802979,3.3340084552764893,0.39870336651802063,3.99031925201416,3.0345325469970703,0.9281653165817261,5.006180763244629,0.04322144389152527,-0.03328127786517143,-0.8382174968719482,1.2008665800094604,0.7502456903457642
9,1.2756187915802002,3.437952756881714,0.39625442028045654,3.9887142181396484,3.035871744155884,0.9267439246177673,5.005392074584961,0.043620817363262177,-0.03406026214361191,-0.8300625681877136,1.2043195962905884,0.7451518774032593
10,1.2878094911575317,3.541466474533081,0.3988937735557556,3.9928760528564453,3.0354654788970947,0.9267439246177673,5.002194881439209,0.045616548508405685,-0.029364975169301033,-0.8327733874320984,1.1904062032699585,0.7438026070594788
11,1.2714290618896484,3.6336517333984375,0.40617960691452026,3.996645212173462,3.0347342491149902,0.9282746315002441,5.002340793609619,0.04796477034687996,-0.03051122836768627,-0.8234062194824219,1.1924289464950562,0.746623694896698
12,1.2590349912643433,3.715667247772217,0.41766804456710815,4.006401538848877,3.033203363418579,0.9316641092300415,5.003164768218994,0.051324158906936646,-0.0231990534812212,-0.8086788654327393,1.188298225402832,0.7537131309509277
13,1.2649972438812256,3.7882893085479736,0.43242347240448,4.0068793296813965,3.0299222469329834,0.9359282851219177,4.998828887939453,0.05234507471323013,-0.023314526304602623,-0.8072676658630371,1.1887681484222412,0.76362144947052
14,1.257096290588379,3.853517532348633,0.4499562084674835,4.016465187072754,3.0281612873077393,0.9408484697341919,5.000009059906006,0.05561883747577667,-0.02073083445429802,-0.8009461164474487,1.186331868171692,0.7754157185554504
15,1.2481164932250977,3.9186642169952393,0.4685577154159546,4.023688316345215,3.0265674591064453,0.9456592798233032,5.000095367431641,0.05689486116170883,-0.018610071390867233,-0.795438826084137,1.1788803339004517,0.7878662943840027
16,1.2525570392608643,3.9783787727355957,0.4879296123981476,4.031604290008545,3.0258569717407227,0.9501421451568604,5.001744270324707,0.058866631239652634,-0.018162645399570465,-0.7890312671661377,1.1762773990631104,0.8003755211830139
17,1.250443935394287,4.034024715423584,0.507110595703125,4.034511566162109,3.0252411365509033,0.9530942440032959,5.001402854919434,0.057118576020002365,-0.02092614769935608,-0.7885020971298218,1.1728719472885132,0.8121362924575806
18,1.2493560314178467,4.089755535125732,0.5242311358451843,4.044885635375977,3.025970458984375,0.9562650322914124,5.005402565002441,0.06115816906094551,-0.015071310102939606,-0.7828034162521362,1.1749308109283447,0.82154780626297
19,1.260123610496521,4.142826557159424,0.5399165153503418,4.050970077514648,3.02646541595459,0.9593265056610107,5.007514476776123,0.06018447503447533,-0.015720374882221222,-0.7825487852096558,1.1714332103729248,0.829842746257782
20,1.2626290321350098,4.202281951904297,0.553276538848877,4.061172008514404,3.027824640274048,0.9610759019851685,5.013389587402344,0.061249252408742905,-0.01452898234128952,-0.7826508283615112,1.1727931499481201,0.83601975440979
21,1.247041940689087,4.258589744567871,0.5648677349090576,4.06257963180542,3.0284669399261475,0.9618412256240845,5.015783786773682,0.06012032926082611,-0.0157361701130867,-0.7840061187744141,1.182112693786621,0.8408835530281067
22,1.2470893859863281,4.314955711364746,0.5736371278762817,4.0707173347473145,3.0297670364379883,0.9620599150657654,5.0217084884643555,0.06065322831273079,-0.014288987964391708,-0.7842233777046204,1.17669677734375,0.8440274596214294
23,1.2539299726486206,4.382169246673584,0.578661322593689,4.078888416290283,3.031179904937744,0.9615132212638855,5.029324054718018,0.06112850457429886,-0.013207901269197464,-0.7839889526367188,1.182271122932434,0.8444289565086365
24,1.2425098419189453,4.449570655822754,0.5810949802398682,4.082372188568115,3.031928300857544,0.9616225957870483,5.033580303192139,0.06111874058842659,-0.012722276151180267,-0.7894507050514221,1.1832231283187866,0.8433758616447449
25,1.2461363077163696,4.518097400665283,0.5811638832092285,4.078624248504639,3.0318455696105957,0.9609665274620056,5.0340495109558105,0.058976657688617706,-0.013738719746470451,-0.8027609586715698,1.1927189826965332,0.8408272862434387
26,1.2524478435516357,4.584303855895996,0.5793680548667908,4.085130214691162,3.0327653884887695,0.9603105187416077,5.039424896240234,0.06008305773139,-0.011659406125545502,-0.8026828169822693,1.1945524215698242,0.8372550010681152
27,1.2445502281188965,4.649153232574463,0.5745648145675659,4.093592166900635,3.033539295196533,0.9591078162193298,5.043976306915283,0.06026994064450264,-0.010031299665570259,-0.8009024262428284,1.1946728229522705,0.8319286108016968
28,1.238350510597229,4.719010353088379,0.5669561624526978,4.093386650085449,3.0339224338531494,0.9570304155349731,5.0460309982299805,0.06075364351272583,-0.00929137971252203,-0.8037513494491577,1.198782205581665,0.8247283697128296
29,1.2334144115447998,4.793206214904785,0.5579457879066467,4.093650817871094,3.0342748165130615,0.9556090235710144,5.0470871925354,0.06083184853196144,-0.010006824508309364,-0.8065512180328369,1.1992329359054565,0.8166924715042114
30,1.244531512260437,4.865291595458984,0.5487922430038452,4.099576473236084,3.0354723930358887,0.9533129334449768,5.050920009613037,0.0626228004693985,-0.0031985132955014706,-0.8091297149658203,1.1953935623168945,0.8087422847747803
31,1.2523268461227417,4.9322896003723145,0.5406090617179871,4.093616962432861,3.0357820987701416,0.9511261582374573,5.049921035766602,0.06306927651166916,-0.005307008512318134,-0.8151088953018188,1.2047464847564697,0.8015329241752625
32,1.239622712135315,4.9972734451293945,0.5337195992469788,4.096977233886719,3.0365331172943115,0.9493767619132996,5.050755023956299,0.06327182054519653,-0.0027185026556253433,-0.815459132194519,1.2038795948028564,0.7954311370849609
33,1.241464376449585,5.057299613952637,0.5284944772720337,4.098488807678223,3.0372345447540283,0.9478460550308228,5.051319599151611,0.06375865638256073,-0.0032471492886543274,-0.8154719471931458,1.205529808998108,0.7906303405761719
34,1.2370550632476807,5.113012313842773,0.5257523059844971,4.103203773498535,3.0379648208618164,0.9474086761474609,5.0529584884643555,0.06478049606084824,-0.002260468900203705,-0.8140729665756226,1.207654595375061,0.787716269493103
35,1.2489633560180664,5.165221214294434,0.5255972146987915,4.100900650024414,3.037963390350342,0.9469713568687439,5.052609443664551,0.0653555691242218,-0.0026080645620822906,-0.8123754858970642,1.2112314701080322,0.7867472767829895
36,1.2601912021636963,5.21765661239624,0.5278286933898926,4.103206634521484,3.037916660308838,0.9476273655891418,5.0530290603637695,0.06555431336164474,-0.002014096826314926,-0.8117767572402954,1.2092941999435425,0.787675678730011
37,1.2587881088256836,5.266750812530518,0.5316991806030273,4.098652362823486,3.0374252796173096,0.9476273655891418,5.052041053771973,0.06595800817012787,-0.0016845539212226868,-0.8168343305587769,1.2171988487243652,0.7896022200584412
38,1.2433805465698242,5.322380542755127,0.5369532108306885,4.107734203338623,3.0375595092773438,0.9494861364364624,5.054224491119385,0.06639493256807327,-0.0011225678026676178,-0.8085852861404419,1.2110891342163086,0.7924766540527344
39,1.2381901741027832,5.372930526733398,0.542186975479126,4.1076436042785645,3.0373945236206055,0.9500328302383423,5.054883003234863,0.06804507970809937,-0.00011602416634559631,-0.8086081743240356,1.2119017839431763,0.7954452633857727
40,1.2404066324234009,5.42632532119751,0.5480195879936218,4.108620643615723,3.037139892578125,0.9516728520393372,5.055286407470703,0.06741969287395477,-0.001987498253583908,-0.8082871437072754,1.2134687900543213,0.7987344264984131
41,1.250889539718628,5.476074695587158,0.5557106733322144,4.117232322692871,3.0370936393737793,0.9534222483634949,5.056901454925537,0.0673365369439125,0.0024199113249778748,-0.8063197731971741,1.2085574865341187,0.8032225370407104
42,1.2410688400268555,5.5227179527282715,0.5631352663040161,4.117554664611816,3.036872148513794,0.9545156359672546,5.05729866027832,0.06790438294410706,0.002874433994293213,-0.8071326017379761,1.2092742919921875,0.8075398802757263
43,1.2504539489746094,5.57147741317749,0.569793164730072,4.111117362976074,3.035278797149658,0.9556090235710144,5.050654411315918,0.06611412763595581,0.00013250857591629028,-0.8085982799530029,1.205780029296875,0.8113212585449219
44,1.2360320091247559,5.618999004364014,0.5752352476119995,4.117037296295166,3.035479784011841,0.9562650322914124,5.052062511444092,0.06705748289823532,0.002391468733549118,-0.8023380041122437,1.1999969482421875,0.8143059015274048
45,1.244490385055542,5.668028831481934,0.5785936117172241,4.120237827301025,3.0364742279052734,0.9562650322914124,5.057103157043457,0.06895865499973297,0.0037515126168727875,-0.8019079566001892,1.2046693563461304,0.8158513307571411
46,1.240324854850769,5.714022159576416,0.5810842514038086,4.1157379150390625,3.034991979598999,0.9571397304534912,5.049917697906494,0.06628181040287018,0.0015174858272075653,-0.8058404922485352,1.1963831186294556,0.8169376850128174
47,1.237816572189331,5.758218765258789,0.581006646156311,4.116397857666016,3.034996271133423,0.9573584198951721,5.049725532531738,0.0664161965250969,0.002646949142217636,-0.8060295581817627,1.1994826793670654,0.8163068294525146
48,1.233998417854309,5.8056206703186035,0.5807510614395142,4.117295265197754,3.03497576713562,0.9572490453720093,5.049616813659668,0.0664304867386818,0.0022508054971694946,-0.8056964874267578,1.1975347995758057,0.8156967163085938
49,1.2379686832427979,5.855587959289551,0.5790810585021973,4.119041442871094,3.035173177719116,0.9570304155349731,5.050129413604736,0.0665324479341507,0.0029795169830322266,-0.8036900758743286,1.1980115175247192,0.8140065670013428
50,1.2314090728759766,5.903502464294434,0.5750994086265564,4.117387771606445,3.035310983657837,0.9559370279312134,5.0501389503479,0.06719580292701721,0.0013014115393161774,-0.8046848773956299,1.2033498287200928,0.8107923269271851
51,1.249993920326233,5.956181526184082,0.5699882507324219,4.123015403747559,3.036720037460327,0.9546249508857727,5.0560688972473145,0.06607963889837265,0.002629481256008148,-0.799013614654541,1.2019619941711426,0.8066802620887756
52,1.2479846477508545,6.008097171783447,0.5660172700881958,4.121607780456543,3.0368142127990723,0.9541876316070557,5.055408000946045,0.06401529908180237,-0.0008371211588382721,-0.8005241751670837,1.1998138427734375,0.8034261465072632
53,1.2463315725326538,6.060593605041504,0.5620713233947754,4.121926784515381,3.036386489868164,0.9538596272468567,5.051933765411377,0.06665967404842377,0.0012249313294887543,-0.8015444278717041,1.2012325525283813,0.8001288175582886
54,1.2343826293945312,6.112537860870361,0.5578881502151489,4.125909328460693,3.038055181503296,0.952110230922699,5.058413982391357,0.06890101730823517,0.0034827589988708496,-0.798208475112915,1.2051913738250732,0.7966840863227844
55,1.2327415943145752,6.1622114181518555,0.5566310882568359,4.125364303588867,3.0373125076293945,0.9526569247245789,5.054441928863525,0.06820815801620483,0.004774373024702072,-0.7996433973312378,1.1999366283416748,0.7951464653015137
56,1.2349685430526733,6.2162580490112305,0.55669105052948,4.1270294189453125,3.0376338958740234,0.952547550201416,5.055272579193115,0.0674043744802475,0.0031893588602542877,-0.7978893518447876,1.202052354812622,0.7944890260696411
57,1.2462949752807617,6.269642353057861,0.5573462843894958,4.12898588180542,3.0378577709198,0.952438235282898,5.0564446449279785,0.06770163029432297,0.003619678318500519,-0.7956167459487915,1.2046648263931274,0.7943218350410461
58,1.241914987564087,6.316262245178223,0.559022068977356,4.133519649505615,3.0382838249206543,0.953203558921814,5.058195114135742,0.06757477670907974,0.0036653652787208557,-0.7946216464042664,1.2024133205413818,0.7949122190475464
59,1.235201120376587,6.35737419128418,0.5627964735031128,4.1314473152160645,3.037907123565674,0.9529849290847778,5.058223724365234,0.0678660050034523,0.003754574805498123,-0.7975271940231323,1.2044472694396973,0.7970516681671143
60,1.2416707277297974,6.3961992263793945,0.5680082440376282,4.136312484741211,3.0379879474639893,0.9541876316070557,5.059768199920654,0.06727180629968643,0.002719040960073471,-0.7936834096908569,1.198327660560608,0.800243079662323
61,1.2336199283599854,6.433691501617432,0.5727924108505249,4.135965347290039,3.0378663539886475,0.9545156359672546,5.060332775115967,0.06765425205230713,0.0020708441734313965,-0.7956941723823547,1.1992756128311157,0.8031030893325806
62,1.2389419078826904,6.46806526184082,0.5765066146850586,4.139510631561279,3.0380001068115234,0.9553903341293335,5.061580181121826,0.06757652759552002,0.0027480609714984894,-0.7940196990966797,1.1973845958709717,0.8052732944488525
63,1.2408757209777832,6.4996418952941895,0.5819233059883118,4.139012813568115,3.037635564804077,0.9560463428497314,5.0612616539001465,0.06657584756612778,0.0007657930254936218,-0.7938464283943176,1.1956884860992432,0.8087062239646912
64,1.2406916618347168,6.533595085144043,0.5832285284996033,4.143885612487793,3.038147211074829,0.9561557173728943,5.064070701599121,0.06627550721168518,0.002988286316394806,-0.7902483940124512,1.1937575340270996,0.8092793226242065
65,1.2377140522003174,6.5729570388793945,0.5822780132293701,4.140235900878906,3.0377590656280518,0.9563743472099304,5.06167459487915,0.06637860834598541,0.002362435683608055,-0.7963928580284119,1.1923141479492188,0.8083710074424744
66,1.2370904684066772,6.611880779266357,0.5815829634666443,4.143001079559326,3.037935733795166,0.9562650322914124,5.062479019165039,0.0666009783744812,0.0036243032664060593,-0.7942593097686768,1.193620204925537,0.8074918389320374
67,1.2482445240020752,6.657115459442139,0.5822533965110779,4.143398761749268,3.038038730621338,0.9561557173728943,5.062824726104736,0.06688365340232849,0.00394778698682785,-0.7966259121894836,1.195223093032837,0.8075562715530396
68,1.2313945293426514,6.7041192054748535,0.5818578004837036,4.143435955047607,3.0381522178649902,0.9560463428497314,5.063040733337402,0.06663916260004044,0.003956440836191177,-0.7952547073364258,1.1958376169204712,0.8068984746932983
69,1.240354299545288,6.747138023376465,0.5805830359458923,4.140767574310303,3.037871837615967,0.9556090235710144,5.061316967010498,0.06113038584589958,-0.002721201628446579,-0.7982929348945618,1.1889737844467163,0.8057809472084045
70,1.2445228099822998,6.7871246337890625,0.5788307785987854,4.142240524291992,3.038180351257324,0.9549529552459717,5.062072277069092,0.06476499885320663,0.0010243728756904602,-0.7958331108093262,1.1910865306854248,0.8044415712356567
71,1.246196985244751,6.8228349685668945,0.5772039890289307,4.145261764526367,3.0384178161621094,0.9548436403274536,5.063056945800781,0.06601332873106003,0.004202479496598244,-0.7950924634933472,1.188096046447754,0.8031680583953857
72,1.2273097038269043,6.854930877685547,0.575442910194397,4.144516468048096,3.0384693145751953,0.9542969465255737,5.062568664550781,0.06695403903722763,0.005466833710670471,-0.7951511740684509,1.1881684064865112,0.8019489645957947
73,1.237810730934143,6.88739013671875,0.5742642283439636,4.144949436187744,3.038381576538086,0.9540782570838928,5.062222480773926,0.06599120050668716,0.004629725590348244,-0.794679582118988,1.185166597366333,0.8010762929916382
74,1.2392818927764893,6.921870231628418,0.5735002160072327,4.145940780639648,3.038640260696411,0.9544063210487366,5.06247615814209,0.0664571151137352,0.006029125303030014,-0.7932162284851074,1.1860663890838623,0.8004159331321716
75,1.2400050163269043,6.953212261199951,0.572537899017334,4.146126747131348,3.038567543029785,0.9540782570838928,5.062406539916992,0.06635251641273499,0.005696382373571396,-0.7935593724250793,1.189664363861084,0.7996160387992859
76,1.2393460273742676,6.980929374694824,0.571374237537384,4.145368576049805,3.038564443588257,0.9534222483634949,5.061840057373047,0.0654132142663002,0.0051552653312683105,-0.7952826619148254,1.1887857913970947,0.7986774444580078
77,1.2550535202026367,7.008186340332031,0.5694912075996399,4.147336483001709,3.038919448852539,0.9533129334449768,5.062566757202148,0.06722673773765564,0.007023662328720093,-0.793394923210144,1.190107822418213,0.7973086833953857
78,1.2356414794921875,7.032780647277832,0.5681884288787842,4.14712381362915,3.038804531097412,0.9529849290847778,5.062047958374023,0.06572766602039337,0.005014311522245407,-0.7953795790672302,1.1884448528289795,0.7963680624961853
79,1.2408877611160278,7.057706832885742,0.5675010681152344,4.144372940063477,3.038456916809082,0.9527662396430969,5.060233116149902,0.06240859255194664,0.002515967935323715,-0.7975455522537231,1.1833527088165283,0.7957721948623657
80,1.2320547103881836,7.083770751953125,0.5656001567840576,4.147660255432129,3.039001703262329,0.952110230922699,5.061711311340332,0.06650232523679733,0.0064879171550273895,-0.7959270477294922,1.1852307319641113,0.7943487763404846
81,1.2445287704467773,7.116443157196045,0.5656397342681885,4.149043560028076,3.0391290187835693,0.952219545841217,5.062334060668945,0.06674918532371521,0.006199724972248077,-0.7953279614448547,1.185463547706604,0.7940887808799744
82,1.2386245727539062,7.150631904602051,0.5687375664710999,4.1505279541015625,3.039038896560669,0.953203558921814,5.062789440155029,0.06672830879688263,0.006936810910701752,-0.7953009009361267,1.1840825080871582,0.7959015369415283
83,1.2422730922698975,7.1833577156066895,0.572201132774353,4.152784824371338,3.0390870571136475,0.9542969465255737,5.0638957023620605,0.06703772395849228,0.007166408002376556,-0.7931854724884033,1.1854491233825684,0.7978843450546265
84,1.2321553230285645,7.2182841300964355,0.575426459312439,4.1545891761779785,3.039170503616333,0.9546249508857727,5.064737319946289,0.06719774007797241,0.0081375353038311,-0.7911925315856934,1.185225248336792,0.799703061580658
